VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
0.5,300.0,300.0,50.0,1.40389e-13,-141.156,1.0
0.5,300.0,300.0,50.1,2.0678e-13,100.044,1.0
0.5,300.0,300.0,50.2,4.89279e-13,126.126,1.0
0.5,300.0,300.0,50.300000000000004,3.57494e-13,114.498,1.0
0.5,300.0,300.0,50.400000000000006,5.11816e-13,74.802,1.0
0.5,300.0,300.0,50.50000000000001,1.32895e-13,141.738,1.0
0.5,300.0,300.0,50.60000000000001,2.83553e-13,72.276,1.0
0.5,300.0,300.0,50.70000000000001,2.16494e-13,171.876,1.0
0.5,300.0,300.0,50.80000000000001,6.98335e-14,71.892,1.0
0.5,300.0,300.0,50.90000000000001,3.62156e-13,112.314,1.0
0.5,300.0,300.0,51.000000000000014,3.4084e-13,41.76,1.0
0.5,300.0,300.0,51.100000000000016,4.42648e-13,87.612,1.0
0.5,300.0,300.0,51.20000000000002,1.34449e-13,121.626,1.0
0.5,300.0,300.0,51.30000000000002,2.93767e-13,16.146,1.0
0.5,300.0,300.0,51.40000000000002,3.00983e-13,63.528,1.0
0.5,300.0,300.0,51.50000000000002,1.96177e-13,58.914,1.0
0.5,300.0,300.0,51.60000000000002,2.33704e-13,77.766,1.0
0.5,300.0,300.0,51.700000000000024,3.20412e-13,96.174,1.0
0.5,300.0,300.0,51.800000000000026,2.19714e-13,110.514,1.0
0.5,300.0,300.0,51.90000000000003,2.18049e-13,41.904,1.0
0.5,300.0,300.0,52.00000000000003,1.56431e-13,83.22,1.0
