VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
0.5,300.0,300.0,52.00000000000003,1.25567e-13,112.224,-1.0
0.5,300.0,300.0,51.90000000000003,4.58415e-13,76.806,-1.0
0.5,300.0,300.0,51.800000000000026,5.0349e-13,63.036,-1.0
0.5,300.0,300.0,51.700000000000024,3.80475e-13,116.004,-1.0
0.5,300.0,300.0,51.60000000000002,2.08057e-13,164.886,-1.0
0.5,300.0,300.0,51.50000000000002,1.62426e-13,60.546,-1.0
0.5,300.0,300.0,51.40000000000002,3.18858e-13,103.56,-1.0
0.5,300.0,300.0,51.30000000000002,1.3456e-13,34.392,-1.0
0.5,300.0,300.0,51.20000000000002,1.85186e-13,107.892,-1.0
0.5,300.0,300.0,51.100000000000016,4.48532e-14,-51.444,-1.0
0.5,300.0,300.0,51.000000000000014,3.56383e-13,47.274,-1.0
0.5,300.0,300.0,50.90000000000001,1.87518e-13,22.644,-1.0
0.5,300.0,300.0,50.80000000000001,2.75337e-13,120.564,-1.0
0.5,300.0,300.0,50.70000000000001,5.65884e-13,88.524,-1.0
0.5,300.0,300.0,50.60000000000001,1.3456e-13,76.956,-1.0
0.5,300.0,300.0,50.50000000000001,3.89246e-13,21.858,-1.0
0.5,300.0,300.0,50.400000000000006,2.24266e-13,16.878,-1.0
0.5,300.0,300.0,50.300000000000004,1.54988e-13,11.43,-1.0
0.5,300.0,300.0,50.2,1.0203e-13,177.342,-1.0
0.5,300.0,300.0,50.1,5.79429e-13,93.018,-1.0
0.5,300.0,300.0,50.0,3.5716e-13,62.634,-1.0
