VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
0.0,300.0,300.0,52.00000000000003,1.03418e-13,61.818,-1.0
0.0,300.0,300.0,51.90000000000003,2.0517e-13,-138.744,-1.0
0.0,300.0,300.0,51.800000000000026,2.70508e-13,127.578,-1.0
0.0,300.0,300.0,51.700000000000024,3.52609e-13,57.144,-1.0
0.0,300.0,300.0,51.60000000000002,4.623e-13,99.078,-1.0
0.0,300.0,300.0,51.50000000000002,5.01047e-13,62.352,-1.0
0.0,300.0,300.0,51.40000000000002,4.50031e-13,109.044,-1.0
0.0,300.0,300.0,51.30000000000002,4.50586e-13,56.826,-1.0
0.0,300.0,300.0,51.20000000000002,4.64687e-13,81.024,-1.0
0.0,300.0,300.0,51.100000000000016,3.64266e-13,87.918,-1.0
0.0,300.0,300.0,51.000000000000014,2.14829e-14,25.416,-1.0
0.0,300.0,300.0,50.90000000000001,2.85329e-14,95.754,-1.0
0.0,300.0,300.0,50.80000000000001,1.42665e-13,145.362,-1.0
0.0,300.0,300.0,50.70000000000001,1.05527e-13,32.832,-1.0
0.0,300.0,300.0,50.60000000000001,2.80666e-13,133.272,-1.0
0.0,300.0,300.0,50.50000000000001,3.58215e-13,100.26,-1.0
0.0,300.0,300.0,50.400000000000006,1.5027e-13,65.61,-1.0
0.0,300.0,300.0,50.300000000000004,4.09507e-13,134.778,-1.0
0.0,300.0,300.0,50.2,3.34734e-13,96.234,-1.0
0.0,300.0,300.0,50.1,2.32593e-13,114.33,-1.0
0.0,300.0,300.0,50.0,2.21379e-13,127.296,-1.0
