VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
1.5,300.0,300.0,50.0,2.83553e-13,59.556,1.0
1.5,300.0,300.0,50.1,3.36843e-13,132.54,1.0
1.5,300.0,300.0,50.2,3.08644e-13,114.078,1.0
1.5,300.0,300.0,50.300000000000004,2.83886e-13,29.286,1.0
1.5,300.0,300.0,50.400000000000006,7.80491e-14,-128.592,1.0
1.5,300.0,300.0,50.50000000000001,2.68343e-13,94.032,1.0
1.5,300.0,300.0,50.60000000000001,4.21998e-13,67.878,1.0
1.5,300.0,300.0,50.70000000000001,2.72784e-13,136.488,1.0
1.5,300.0,300.0,50.80000000000001,3.25297e-13,89.886,1.0
1.5,300.0,300.0,50.90000000000001,4.90722e-13,115.59,1.0
1.5,300.0,300.0,51.000000000000014,4.21998e-13,96.084,1.0
1.5,300.0,300.0,51.100000000000016,4.10784e-13,86.586,1.0
1.5,300.0,300.0,51.20000000000002,1.6609e-13,112.338,1.0
1.5,300.0,300.0,51.30000000000002,2.40143e-13,26.01,1.0
1.5,300.0,300.0,51.40000000000002,2.17494e-13,-40.062,1.0
1.5,300.0,300.0,51.50000000000002,4.07454e-13,103.68,1.0
1.5,300.0,300.0,51.60000000000002,2.37034e-13,163.638,1.0
1.5,300.0,300.0,51.700000000000024,2.6701e-13,73.08,1.0
1.5,300.0,300.0,51.800000000000026,1.45662e-13,71.406,1.0
1.5,300.0,300.0,51.90000000000003,3.21633e-13,117.372,1.0
1.5,300.0,300.0,52.00000000000003,3.39175e-13,97.722,1.0
