VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
0.0,300.0,300.0,50.0,4.03346e-13,134.34,1.0
0.0,300.0,300.0,50.1,3.01594e-13,58.314,1.0
0.0,300.0,300.0,50.2,1.51435e-13,28.146,1.0
0.0,300.0,300.0,50.300000000000004,4.54138e-13,104.67,1.0
0.0,300.0,300.0,50.400000000000006,1.3245e-13,91.398,1.0
0.0,300.0,300.0,50.50000000000001,5.02933e-14,-134.358,1.0
0.0,300.0,300.0,50.60000000000001,3.1747e-13,86.076,1.0
0.0,300.0,300.0,50.70000000000001,3.74924e-13,94.464,1.0
0.0,300.0,300.0,50.80000000000001,2.56463e-13,60.33,1.0
0.0,300.0,300.0,50.90000000000001,2.43196e-13,77.826,1.0
0.0,300.0,300.0,51.000000000000014,1.65924e-13,-2.604,1.0
0.0,300.0,300.0,51.100000000000016,2.73394e-13,-141.444,1.0
0.0,300.0,300.0,51.20000000000002,2.20769e-13,145.716,1.0
0.0,300.0,300.0,51.30000000000002,2.30095e-13,70.356,1.0
0.0,300.0,300.0,51.40000000000002,2.54798e-13,121.488,1.0
0.0,300.0,300.0,51.50000000000002,3.24964e-13,48.12,1.0
0.0,300.0,300.0,51.60000000000002,6.54481e-14,160.548,1.0
0.0,300.0,300.0,51.700000000000024,3.66264e-13,104.43,1.0
0.0,300.0,300.0,51.800000000000026,2.21435e-13,101.556,1.0
0.0,300.0,300.0,51.90000000000003,2.44695e-13,42.774,1.0
0.0,300.0,300.0,52.00000000000003,1.66146e-13,27.288,1.0
