VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
2.0,300.0,300.0,52.00000000000003,1.56653e-13,135.654,-1.0
2.0,300.0,300.0,51.90000000000003,3.07089e-13,73.824,-1.0
2.0,300.0,300.0,51.800000000000026,5.8609e-13,76.44,-1.0
2.0,300.0,300.0,51.700000000000024,4.65409e-13,87.474,-1.0
2.0,300.0,300.0,51.60000000000002,2.78446e-13,140.946,-1.0
2.0,300.0,300.0,51.50000000000002,6.63362e-13,19.944,-1.0
2.0,300.0,300.0,51.40000000000002,3.07645e-13,114.714,-1.0
2.0,300.0,300.0,51.30000000000002,3.63267e-13,88.95,-1.0
2.0,300.0,300.0,51.20000000000002,3.04536e-13,37.584,-1.0
2.0,300.0,300.0,51.100000000000016,2.72673e-13,74.91,-1.0
2.0,300.0,300.0,51.000000000000014,2.97875e-13,119.616,-1.0
2.0,300.0,300.0,50.90000000000001,3.26962e-13,126.402,-1.0
2.0,300.0,300.0,50.80000000000001,3.10087e-13,4.314,-1.0
2.0,300.0,300.0,50.70000000000001,3.9624e-13,58.002,-1.0
2.0,300.0,300.0,50.60000000000001,3.04536e-13,80.934,-1.0
2.0,300.0,300.0,50.50000000000001,3.0276e-13,155.136,-1.0
2.0,300.0,300.0,50.400000000000006,4.30546e-13,35.862,-1.0
2.0,300.0,300.0,50.300000000000004,4.11117e-13,60.576,-1.0
2.0,300.0,300.0,50.2,2.8544e-13,130.548,-1.0
2.0,300.0,300.0,50.1,3.46502e-13,59.874,-1.0
2.0,300.0,300.0,50.0,3.60602e-13,98.472,-1.0
