VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
2.0,300.0,300.0,50.0,2.19048e-13,117.744,1.0
2.0,300.0,300.0,50.1,3.63045e-13,103.56,1.0
2.0,300.0,300.0,50.2,4.1245e-13,151.872,1.0
2.0,300.0,300.0,50.300000000000004,4.18445e-13,30.594,1.0
2.0,300.0,300.0,50.400000000000006,3.70705e-13,86.124,1.0
2.0,300.0,300.0,50.50000000000001,3.20301e-13,132.186,1.0
2.0,300.0,300.0,50.60000000000001,2.84441e-13,102.6,1.0
2.0,300.0,300.0,50.70000000000001,2.87883e-13,61.548,1.0
2.0,300.0,300.0,50.80000000000001,3.28739e-13,137.178,1.0
2.0,300.0,300.0,50.90000000000001,5.62664e-13,111.018,1.0
2.0,300.0,300.0,51.000000000000014,4.65964e-13,92.946,1.0
2.0,300.0,300.0,51.100000000000016,4.36874e-13,133.674,1.0
2.0,300.0,300.0,51.20000000000002,2.20158e-13,104.784,1.0
2.0,300.0,300.0,51.30000000000002,1.88517e-13,105.672,1.0
2.0,300.0,300.0,51.40000000000002,4.85171e-13,102.618,1.0
2.0,300.0,300.0,51.50000000000002,2.81221e-13,42.396,1.0
2.0,300.0,300.0,51.60000000000002,4.00903e-13,123.702,1.0
2.0,300.0,300.0,51.700000000000024,3.6582e-13,93.99,1.0
2.0,300.0,300.0,51.800000000000026,1.41776e-13,40.122,1.0
2.0,300.0,300.0,51.90000000000003,3.29405e-13,11.424,1.0
2.0,300.0,300.0,52.00000000000003,2.15384e-13,95.436,1.0
