VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
1.0,300.0,300.0,52.00000000000003,3.36066e-13,95.646,-1.0
1.0,300.0,300.0,51.90000000000003,3.777e-13,60.324,-1.0
1.0,300.0,300.0,51.800000000000026,4.03346e-13,126.138,-1.0
1.0,300.0,300.0,51.700000000000024,3.80142e-13,84.534,-1.0
1.0,300.0,300.0,51.60000000000002,4.69739e-13,104.496,-1.0
1.0,300.0,300.0,51.50000000000002,2.97319e-13,-7.38,-1.0
1.0,300.0,300.0,51.40000000000002,2.53133e-13,108.162,-1.0
1.0,300.0,300.0,51.30000000000002,2.94655e-13,44.448,-1.0
1.0,300.0,300.0,51.20000000000002,3.9513e-13,71.352,-1.0
1.0,300.0,300.0,51.100000000000016,4.39872e-13,89.886,-1.0
1.0,300.0,300.0,51.000000000000014,2.01506e-13,170.904,-1.0
1.0,300.0,300.0,50.90000000000001,1.26233e-13,178.974,-1.0
1.0,300.0,300.0,50.80000000000001,3.28628e-13,105.042,-1.0
1.0,300.0,300.0,50.70000000000001,5.1226e-13,25.08,-1.0
1.0,300.0,300.0,50.60000000000001,3.10309e-13,94.374,-1.0
1.0,300.0,300.0,50.50000000000001,1.22569e-13,138.306,-1.0
1.0,300.0,300.0,50.400000000000006,4.07676e-13,126.726,-1.0
1.0,300.0,300.0,50.300000000000004,2.94211e-13,24.162,-1.0
1.0,300.0,300.0,50.2,4.35098e-13,58.866,-1.0
1.0,300.0,300.0,50.1,1.90515e-13,82.788,-1.0
1.0,300.0,300.0,50.0,1.11356e-13,178.356,-1.0
